# key Si N C H F r(Si) r(N) r(C) r(H) r(F)
3.300000000000000000e+02 3.263065436978479994e+01 4.009661835748791958e+01 7.861220904699164791e+00 0.000000000000000000e+00 7.773386034255598709e+00 3.692842942345924695e-01 4.537773359840954202e-01 8.896620278330019671e-02 0.000000000000000000e+00 8.797216699801192752e-02
3.400000000000000000e+02 3.217247097844111892e+01 3.951077943615256061e+01 7.711442786069650168e+00 0.000000000000000000e+00 8.001658374792700812e+00 3.681214421252371749e-01 4.520872865275142316e-01 8.823529411764706454e-02 0.000000000000000000e+00 9.155597722960151508e-02
3.500000000000000000e+02 3.226571767497034671e+01 3.962040332147093835e+01 7.987346777382365204e+00 0.000000000000000000e+00 8.105970739422696525e+00 3.667415730337078572e-01 4.503370786516853741e-01 9.078651685393258897e-02 0.000000000000000000e+00 9.213483146067415197e-02
3.600000000000000000e+02 3.216175359032501291e+01 3.919123204837489993e+01 7.860922146636431407e+00 0.000000000000000000e+00 8.049886621315192059e+00 3.685578172368990657e-01 4.491121697704634208e-01 9.008228670420095896e-02 0.000000000000000000e+00 9.224772628843655453e-02
3.700000000000000000e+02 3.227339181286549774e+01 3.951023391812865526e+01 8.077485380116959490e+00 0.000000000000000000e+00 8.187134502923976598e+00 3.665421336654213214e-01 4.487339144873391250e-01 9.173931091739311039e-02 0.000000000000000000e+00 9.298464092984641549e-02
3.800000000000000000e+02 3.244301994301994085e+01 3.896011396011395789e+01 8.084045584045583155e+00 0.000000000000000000e+00 8.368945868945868227e+00 3.692744223753546828e-01 4.434535873530603967e-01 9.201459262261856009e-02 0.000000000000000000e+00 9.525739764896636042e-02
3.900000000000000000e+02 3.254733833511967589e+01 3.887102536620220405e+01 8.252947481243300132e+00 0.000000000000000000e+00 8.431582708110036961e+00 3.694241686942416614e-01 4.412003244120032419e-01 9.367396593673965599e-02 0.000000000000000000e+00 9.570154095701541297e-02
4.000000000000000000e+02 3.219006788138620578e+01 3.872811718470882170e+01 8.217220435869952766e+00 0.000000000000000000e+00 8.574490889603429977e+00 3.670061099796333992e-01 4.415478615071283253e-01 9.368635437881873973e-02 0.000000000000000000e+00 9.775967413441954967e-02
4.100000000000000000e+02 3.228511530398323259e+01 3.819007686932215506e+01 8.420684835779177035e+00 0.000000000000000000e+00 8.770090845562544146e+00 3.682742128337983534e-01 4.356317257871661908e-01 9.605420486249502399e-02 0.000000000000000000e+00 1.000398565165404596e-01
4.200000000000000000e+02 3.226837060702874993e+01 3.844515441959531188e+01 8.377706780262689890e+00 0.000000000000000000e+00 9.016684416045437800e+00 3.662369057211926071e-01 4.363416599516519168e-01 9.508460918614021484e-02 0.000000000000000000e+00 1.023368251410153168e-01
4.300000000000000000e+02 3.242187500000000000e+01 3.927951388888889284e+01 8.116319444444444642e+00 0.000000000000000000e+00 8.854166666666667851e+00 3.656387665198237991e-01 4.429760156632403523e-01 9.153206069505628872e-02 0.000000000000000000e+00 9.985315712187958770e-02
4.400000000000000000e+02 3.230240549828177876e+01 3.833524245895378613e+01 8.438335242458951058e+00 0.000000000000000000e+00 9.354715540282548147e+00 3.652849740932642697e-01 4.335060449050086584e-01 9.542314335060449182e-02 0.000000000000000000e+00 1.057858376511226217e-01
4.500000000000000000e+02 3.125879043600562568e+01 3.751758087201125136e+01 8.614627285513360988e+00 0.000000000000000000e+00 9.528832630098452938e+00 3.596278317152103443e-01 4.316343042071197345e-01 9.911003236245954917e-02 0.000000000000000000e+00 1.096278317152103582e-01
4.600000000000000000e+02 3.104166666666667496e+01 3.701388888888889994e+01 8.680555555555557135e+00 0.000000000000000000e+00 9.756944444444446418e+00 3.588920112404656582e-01 4.279405861099959685e-01 1.003613006824568415e-01 0.000000000000000000e+00 1.128061019670814902e-01
4.700000000000000000e+02 3.093812375249501301e+01 3.705921490352628211e+01 8.649367930805057725e+00 0.000000000000000000e+00 9.481037924151696217e+00 3.592120509849362486e-01 4.302819621475473255e-01 1.004248744689069106e-01 0.000000000000000000e+00 1.100811123986095014e-01
4.800000000000000000e+02 3.092485549132948108e+01 3.696210661528581198e+01 8.670520231213874496e+00 0.000000000000000000e+00 9.633911368015414922e+00 3.587928464977645504e-01 4.288375558867362214e-01 1.005961251862891176e-01 0.000000000000000000e+00 1.117734724292101384e-01
4.900000000000000000e+02 3.100558659217877278e+01 3.699565487274984577e+01 8.628181253879578350e+00 0.000000000000000000e+00 9.714463066418373316e+00 3.590941768511862198e-01 4.284687275341481083e-01 9.992810927390366471e-02 0.000000000000000000e+00 1.125089863407620350e-01
5.000000000000000000e+02 3.180751173708920376e+01 3.802816901408451145e+01 8.411580594679186618e+00 0.000000000000000000e+00 9.350547730829420701e+00 3.631085305940152108e-01 4.341223760607413884e-01 9.602501116569897577e-02 0.000000000000000000e+00 1.067440821795444389e-01
